"date","commodity","country","district","grade","price_type","price_lkr_per_kg","currency","unit","market_level","frequency","source","source_url"
"2026-03-24","black_pepper","Sri Lanka","Monaragala","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","Monaragala","Grade 1","average","2082.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","National","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","National","Grade 1","average","2015.57","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","National","Grade 2","highest","1960.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-24","black_pepper","Sri Lanka","National","Grade 2","average","1775.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-17","black_pepper","Sri Lanka","Kandy","Grade 1","highest","2100.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-17","black_pepper","Sri Lanka","Kandy","Grade 1","average","2024.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-17","black_pepper","Sri Lanka","Kandy","Grade 2","highest","1800.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-17","black_pepper","Sri Lanka","Kandy","Grade 2","average","1800.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-17","black_pepper","Sri Lanka","Matale","Grade 1","highest","2150.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
"2026-03-17","black_pepper","Sri Lanka","Matale","Grade 1","average","2083.0","LKR","kg","farm_gate","weekly","Department of Export Agriculture","https://exagri.info/mkt/index.html"
